latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
41.351,122.108,301.2,1.2,1.1,2021-02-12,0300,T,45,6.0NRT,280.9,5.8,D
41.309,122.227,315.6,1.2,1.1,2021-02-12,0300,T,76,6.0NRT,280.6,18.5,D
41.307,122.24,311.5,1.2,1.1,2021-02-12,0300,T,67,6.0NRT,280.5,14.5,D
41.291,122.2,306.8,1.2,1.1,2021-02-12,0300,T,58,6.0NRT,280.7,10.2,D
41.289,122.214,301.9,1.2,1.1,2021-02-12,0300,T,47,6.0NRT,279.6,7.3,D
41.318,121.991,300.6,1.2,1.1,2021-02-12,0300,T,37,6.0NRT,279.5,7.5,D
41.316,122.004,300.4,1.2,1.1,2021-02-12,0300,T,28,6.0NRT,279.1,7.7,D
41.263,122.133,310.5,1.2,1.1,2021-02-12,0300,T,27,6.0NRT,280.9,11.9,D
40.853,122.055,315.6,1.2,1.1,2021-02-12,0300,T,76,6.0NRT,282.6,18.3,D
40.852,122.048,314.9,1.2,1.1,2021-02-12,0300,T,75,6.0NRT,282.5,18.9,D
40.112,118.731,301.4,1,1,2021-02-12,0300,T,47,6.0NRT,284.9,4.7,D
39.964,118.55,303.4,1,1,2021-02-12,0300,T,56,6.0NRT,284.1,6.2,D
40.387,115.327,300.8,1.2,1.1,2021-02-12,0300,T,42,6.0NRT,283,4.6,D
39.66,118.414,300.3,1,1,2021-02-12,0300,T,30,6.0NRT,284.7,4.3,D
39.071,115.474,300.8,1.1,1,2021-02-12,0300,T,41,6.0NRT,285.2,4.8,D
38.574,117.25,300.7,1,1,2021-02-12,0300,T,37,6.0NRT,285.1,4,D
39.261,110.172,300.3,2.1,1.4,2021-02-12,0300,T,26,6.0NRT,281.9,11.7,D
38.042,117.797,304.1,1,1,2021-02-12,0300,T,41,6.0NRT,287.7,5.4,D
37.927,117.891,302.9,1,1,2021-02-12,0300,T,54,6.0NRT,289.4,3.6,D
37.933,117.655,303.2,1,1,2021-02-12,0300,T,52,6.0NRT,287.2,5,D
37.922,117.733,300.1,1,1,2021-02-12,0300,T,21,6.0NRT,285.6,2.6,D
38.016,117.023,300.2,1,1,2021-02-12,0300,T,30,6.0NRT,286.2,3.3,D
37.522,118.061,330.4,1,1,2021-02-12,0300,T,87,6.0NRT,289.7,28,D
37.513,118.053,311,1,1,2021-02-12,0300,T,71,6.0NRT,290.6,9.1,D
37.512,118.064,305.9,1,1,2021-02-12,0300,T,62,6.0NRT,289.6,5.7,D
37.519,117.835,302.1,1,1,2021-02-12,0300,T,51,6.0NRT,290.1,3.2,D
37.374,117.754,304,1,1,2021-02-12,0300,T,58,6.0NRT,291.6,3.7,D
37.42,116.674,300.2,1,1,2021-02-12,0300,T,31,6.0NRT,286.5,3.4,D
37.418,116.685,305.9,1,1,2021-02-12,0300,T,62,6.0NRT,286.7,6.6,D
36.922,118.991,307.9,1,1,2021-02-12,0300,T,65,6.0NRT,290.1,5.7,D
36.92,119.003,306.9,1,1,2021-02-12,0300,T,58,6.0NRT,290.3,5,D
36.828,118.938,306,1,1,2021-02-12,0300,T,60,6.0NRT,289.4,4.5,D
37.091,116.781,306.9,1,1,2021-02-12,0300,T,64,6.0NRT,289.5,6.6,D
36.806,118.086,303.3,1,1,2021-02-12,0300,T,51,6.0NRT,290.8,3.8,D
-24.542,114.913,311.8,4.8,2,2021-02-12,0320,T,29,6.0NRT,290.3,58.9,D
35.845,117.29,303.9,1,1,2021-02-12,0305,T,57,6.0NRT,291.3,3.9,D
35.449,116.008,303.4,1,1,2021-02-12,0305,T,56,6.0NRT,289.7,4.1,D
35.351,115.982,301.4,1,1,2021-02-12,0305,T,47,6.0NRT,289.3,3.3,D
34.674,118.795,302.6,1.1,1,2021-02-12,0305,T,53,6.0NRT,290,4,D
33.841,118.956,304,1.1,1.1,2021-02-12,0305,T,58,6.0NRT,289.3,5.8,D
33.829,118.855,300.8,1.1,1.1,2021-02-12,0305,T,41,6.0NRT,288.9,3.7,D
33.802,118.959,307.7,1.1,1.1,2021-02-12,0305,T,66,6.0NRT,288.8,8.7,D
34.497,113.676,305.9,1.2,1.1,2021-02-12,0305,T,61,6.0NRT,291.8,6.4,D
34.495,113.689,306.9,1.2,1.1,2021-02-12,0305,T,64,6.0NRT,290.8,7.1,D
34.317,112.088,306.7,1.4,1.2,2021-02-12,0305,T,64,6.0NRT,292.3,7.6,D
33.615,116.578,303.9,1,1,2021-02-12,0305,T,52,6.0NRT,291,4.4,D
33.269,118.144,304.6,1.1,1,2021-02-12,0305,T,59,6.0NRT,290.4,4.6,D
33.267,118.155,302.8,1.1,1,2021-02-12,0305,T,54,6.0NRT,289.6,3.4,D
33.295,116.799,305.8,1,1,2021-02-12,0305,T,62,6.0NRT,289.3,6.7,D
32.754,117.314,303.9,1,1,2021-02-12,0305,T,29,6.0NRT,290.2,4.3,D
32.61,116.868,302.4,1,1,2021-02-12,0305,T,45,6.0NRT,286.7,3.4,D
32.495,117.074,301.7,1,1,2021-02-12,0305,T,49,6.0NRT,287.6,3.3,D
33.145,111.856,308.6,1.4,1.2,2021-02-12,0305,T,67,6.0NRT,291.6,10.6,D
32.925,113.313,305.1,1.2,1.1,2021-02-12,0305,T,58,6.0NRT,291.7,4.7,D
32.516,113.805,306.4,1.1,1,2021-02-12,0305,T,63,6.0NRT,292.1,5.1,D
32.558,112.965,303.7,1.2,1.1,2021-02-12,0305,T,57,6.0NRT,289.4,6,D
30.453,117.238,303.5,1.1,1,2021-02-12,0305,T,56,6.0NRT,282.3,7.5,D
30.72,107.757,302,2.4,1.5,2021-02-12,0305,T,50,6.0NRT,287.8,14.4,D
30.289,107.501,300.4,2.4,1.5,2021-02-12,0305,T,35,6.0NRT,287.6,11.8,D
29.102,107.239,300.4,2.5,1.5,2021-02-12,0305,T,36,6.0NRT,286.7,16.9,D
24.387,109.376,305.9,1.5,1.2,2021-02-12,0305,T,34,6.0NRT,291.4,7.3,D
22.678,114.363,309.8,1,1,2021-02-12,0305,T,46,6.0NRT,295.8,7,D
22.608,112.84,308.2,1,1,2021-02-12,0305,T,54,6.0NRT,293.1,4.8,D
22.656,107.751,307.2,1.9,1.3,2021-02-12,0305,T,59,6.0NRT,292.5,12.8,D
-21.117,165.467,313.4,1,1,2021-02-12,0245,A,34,6.0NRT,298.9,5.8,D
-27.414,-70.258,300.6,2.2,1.4,2021-02-12,0355,T,31,6.0NRT,288.6,16.6,N
-27.416,-70.263,303,2.2,1.4,2021-02-12,0355,T,52,6.0NRT,288.7,21.9,N
10.326,-85.201,304.2,1,1,2021-02-12,0405,T,59,6.0NRT,293.7,4.4,N
11.009,-84.578,306.8,1.1,1,2021-02-12,0405,T,69,6.0NRT,292,7.8,N
11.904,-86.471,306.2,1,1,2021-02-12,0405,T,67,6.0NRT,293.3,6,N
